,SepalLengthCm,SepalWidthCm
126,6.2,2.8
61,5.9,3.0
124,6.7,3.3
117,7.7,3.8
20,5.4,3.4
146,6.3,2.5
35,5.0,3.2
6,4.6,3.4
15,5.7,4.4
28,5.2,3.4
97,6.2,2.9
56,6.3,3.3
81,5.5,2.4
98,5.1,2.5
149,5.9,3.0
60,5.0,2.0
147,6.5,3.0
104,6.5,3.0
52,6.9,3.1
22,4.6,3.6
75,6.6,3.0
37,4.9,3.1
77,6.7,3.0
145,6.7,3.0
64,5.6,2.9
136,6.3,3.4
94,5.6,2.7
127,6.1,3.0
87,6.3,2.3
92,5.8,2.6
95,5.7,3.0
139,6.9,3.1
76,6.8,2.8
32,5.2,4.1
101,5.8,2.7
13,4.3,3.0
24,4.8,3.4
59,5.2,2.7
45,4.8,3.0
34,4.9,3.1
131,7.9,3.8
93,5.0,2.3
47,4.6,3.2
116,6.5,3.0
9,4.9,3.1
119,6.0,2.2
90,5.5,2.6
14,5.8,4.0
16,5.4,3.9
111,6.4,2.7
85,6.0,3.4
89,5.5,2.5
33,5.5,4.2
29,4.7,3.2
120,6.9,3.2
78,6.0,2.9
91,6.1,3.0
3,4.6,3.1
55,5.7,2.8
138,6.0,3.0
67,5.8,2.7
11,4.8,3.4
62,6.0,2.2
137,6.4,3.1
108,6.7,2.5
100,6.3,3.3
143,6.8,3.2
18,5.7,3.8
19,5.1,3.8
83,6.0,2.7
122,7.7,2.8
38,4.4,3.0
68,6.2,2.2
2,4.7,3.2
31,5.4,3.4
140,6.7,3.1
51,6.4,3.2
105,7.6,3.0
36,5.5,3.5
110,6.5,3.2
4,5.0,3.6
141,6.9,3.1
0,5.1,3.5
58,6.6,2.9
5,5.4,3.9
103,6.3,2.9
129,7.2,3.0
41,4.5,2.3
106,4.9,2.5
121,5.6,2.8
125,7.2,3.2
86,6.7,3.1
30,4.8,3.1
65,6.7,3.1
44,5.1,3.8
27,5.2,3.5
80,5.5,2.4
113,5.7,2.5
7,5.0,3.4
112,6.8,3.0
8,4.4,2.9
73,6.1,2.8
144,6.7,3.3
118,7.7,2.6
99,5.7,2.8
