,SepalLengthCm,SepalWidthCm,lable,predict
82,5.8,2.7,1,1.0
134,6.1,2.6,1,1.0
114,5.8,2.8,1,1.0
42,4.4,3.2,-1,-1.0
109,7.2,3.6,1,1.0
57,4.9,2.4,1,1.0
1,4.9,3.0,-1,-1.0
70,5.9,3.2,1,1.0
25,5.0,3.0,-1,-1.0
84,5.4,3.0,1,-1.0
66,5.6,3.0,1,1.0
133,6.3,2.8,1,1.0
102,7.1,3.0,1,1.0
107,7.3,2.9,1,1.0
26,5.0,3.4,-1,-1.0
23,5.1,3.3,-1,-1.0
123,6.3,2.7,1,1.0
130,7.4,2.8,1,1.0
21,5.1,3.7,-1,-1.0
12,4.8,3.0,-1,-1.0
71,6.1,2.8,1,1.0
128,6.4,2.8,1,1.0
48,5.3,3.7,-1,-1.0
72,6.3,2.5,1,1.0
88,5.6,3.0,1,1.0
148,6.2,3.4,1,1.0
74,6.4,2.9,1,1.0
96,5.7,2.9,1,1.0
63,6.1,2.9,1,1.0
132,6.4,2.8,1,1.0
39,5.1,3.4,-1,-1.0
53,5.5,2.3,1,1.0
79,5.7,2.6,1,1.0
10,5.4,3.7,-1,-1.0
50,7.0,3.2,1,1.0
49,5.0,3.3,-1,-1.0
43,5.0,3.5,-1,-1.0
135,7.7,3.0,1,1.0
40,5.0,3.5,-1,-1.0
115,6.4,3.2,1,1.0
142,5.8,2.7,1,1.0
69,5.6,2.5,1,1.0
17,5.1,3.5,-1,-1.0
46,5.1,3.8,-1,-1.0
54,6.5,2.8,1,1.0
